pais;estado
Afghanistan;Badakhshan
Afghanistan;Badghis
Afghanistan;Baghlan
Afghanistan;Balkh
Afghanistan;Bamyan
Afghanistan;Daykundi
Afghanistan;Farah
Afghanistan;Faryab
Afghanistan;Ghazni
Afghanistan;Ghowr
Afghanistan;Helmand
Afghanistan;Herat
Afghanistan;Jowzjan
Afghanistan;Kabul
Afghanistan;Kandahar
Afghanistan;Kapisa
Afghanistan;Khowst
Afghanistan;Kunar
Afghanistan;Kunduz
Afghanistan;Laghman
Afghanistan;Logar
Afghanistan;Nangarhar
Afghanistan;Nimroz
Afghanistan;Nuristan
Afghanistan;Oruzgan
Afghanistan;Paktia
Afghanistan;Paktika
Afghanistan;Panjshir
Afghanistan;Parwan
Afghanistan;Samangan
Afghanistan;Sar-e Pol
Afghanistan;Takhar
Afghanistan;Vardak
Afghanistan;Zabul
American Samoa;Eastern District
Angola;Bengo
Angola;Benguela
Angola;Bie
Angola;Cabinda
Angola;Cuando Cobango
Angola;Cuanza Norte
Angola;Cunene
Angola;Huambo
Angola;Huila
Angola;Kwanza Sul
Angola;Luanda
Angola;Luanda Norte
Angola;Lunda Sul
Angola;Malanje
Angola;Moxico
Angola;Namibe
Angola;Uige
Angola;Zaire
Anguilla;Blowing Point
Anguilla;Island Harbour
Brazil;Acre
Brazil;Alagoas
Brazil;Amapa
Brazil;Amazonas
Brazil;Bahia
Brazil;Ceara
Brazil;Espirito Santo
Brazil;Federal District
Brazil;Goias
Brazil;Maranhao
Brazil;Mato Grosso
Brazil;Mato Grosso do Sul
Brazil;Minas Gerais
Brazil;Para
Brazil;Paraiba
Brazil;Parana
Brazil;Pernambuco
Brazil;Piaui
Brazil;Rio Grande do Norte
Brazil;Rio Grande do Sul
Brazil;Rio de Janeiro
Brazil;Rondonia
Brazil;Roraima
Brazil;Santa Catarina
Brazil;Sao Paulo
Brazil;Sergipe
Brazil;Tocantins
Brunei;Belait
Brunei;Brunei and Muara
Brunei;Temburong
Brunei;Tutong
Bulgaria;Blagoevgrad
Bulgaria;Burgas
Bulgaria;Dobrich
Bulgaria;Haskovo
Bulgaria;Kardzhali
Bulgaria;Lovech
Bulgaria;Pernik
Bulgaria;Pleven
Bulgaria;Plovdiv
Bulgaria;Ruse
Bulgaria;Shumen
Bulgaria;Sliven
Bulgaria;Smolyan
Bulgaria;Sofia
Bulgaria;Stara Zagora
Bulgaria;Varna
Bulgaria;Veliko Tarnovo
Bulgaria;Vidin
Bulgaria;Vratsa
Cambodia;Banteay Meanchey
Cambodia;Battambang
Cambodia;Kampong Cham
Cambodia;Kampong Chhnang
Cambodia;Kampong Speu
Cambodia;Kampong Thom
Cambodia;Kampot
Cambodia;Kandal
Cambodia;Kep
Cambodia;Koh Kong
Cambodia;Kratie
Cambodia;Mondolkiri
Cambodia;Otar Meanchey
Cambodia;Pailin
Cambodia;Phnom Penh
Cambodia;Preah Sihanouk
Cambodia;Preah Vihear
Cambodia;Prey Veng
Cambodia;Pursat
Cambodia;Ratanakiri
Cambodia;Siem Reap
Cambodia;Stung Treng
Cambodia;Svay Rieng
