cidade;estado;pais;aqius
Abu Dhabi;Abu Dhabi;United Arab Emirates;124
Kabul;Kabul;Afghanistan;102
Yerevan;Yerevan;Armenia;53
Benguela;Benguela;Angola;
Tandil;Buenos Aires;Argentina;
Santa Rosa;Corrientes;Argentina;
San Lorenzo;Corrientes;Argentina;
Quilmes;Buenos Aires;Argentina;
Merlo;Buenos Aires;Argentina;
La Plata;Buenos Aires;Argentina;
La Paz;Entre Rios;Argentina;
Fontana;Chaco;Argentina;
Ezeiza;Buenos Aires;Argentina;
Avellaneda;Santa Fe;Argentina;
Tama;La Rioja;Argentina;
Santa Rosa;La Pampa;Argentina;
Santa Rosa;Mendoza;Argentina;
San Lorenzo;Santa Fe;Argentina;
Merlo;San Luis;Argentina;
Lincoln;Buenos Aires;Argentina;
La Paz;Mendoza;Argentina;
El Alto;Catamarca;Argentina;
Avellaneda;Buenos Aires;Argentina;
Salzburg;Salzburg;Austria;37
Linz;Upper Austria;Austria;32
Graz;Styria;Austria;56
York;Western Australia;Australia;
Bellevue;Western Australia;Australia;
Woodridge;Queensland;Australia;
Warren;New South Wales;Australia;
Southport;Queensland;Australia;
Newcastle;New South Wales;Australia;19
Hamilton;Victoria;Australia;121
Hamilton;Queensland;Australia;52
Dallas;Victoria;Australia;
Ruse;New South Wales;Australia;
Dayton;Western Australia;Australia;
Hamilton;New South Wales;Australia;
Chatsworth;Queensland;Australia;
Baku;Baki;Azerbaijan;28
Dhaka;Dhaka Division;Bangladesh;
Saint-Denis;Wallonia;Belgium;
Duisburg;Flanders;Belgium;
Stara Zagora;Stara Zagora;Bulgaria;48
Ruse;Ruse;Bulgaria;31
Ivanovo;Ruse;Bulgaria;
Hamilton;Hamilton city;Bermuda;
Bandar Seri Begawan;Brunei-Muara District;Brunei Darussalam;
Sucre;Chuquisaca Department;Bolivia, Plurinational State of;
La Paz;La Paz Department;Bolivia, Plurinational State of;
Juazeiro do Norte;Ceará;Brazil;
Aurora;Ceará;Brazil;
Vila Velha;Espírito Santo;Brazil;
Sorocaba;São Paulo;Brazil;
Santa Rosa;Rio Grande do Sul;Brazil;
Salinas;Minas Gerais;Brazil;
Rio Claro;Rio de Janeiro;Brazil;
Rio Claro;São Paulo;Brazil;50
Alvorada;Rio Grande do Sul;Brazil;
Juiz de Fora;Minas Gerais;Brazil;
Blumenau;Santa Catarina;Brazil;
Angra dos Reis;Rio de Janeiro;Brazil;
Alvorada;Tocantins;Brazil;
Boa Vista;Roraima;Brazil;1
Ivanovo;Brest;Belarus;
Brest;Brest;Belarus;52
Aurora;Ontario;Canada;
Gatineau;Quebec;Canada;20
Hamilton;Ontario;Canada;17
Kimberley;British Columbia;Canada;17
Lethbridge;Alberta;Canada;27
Lincoln;New Brunswick;Canada;
London;Ontario;Canada;13
Oshawa;Ontario;Canada;13
Richmond Hill;Ontario;Canada;0
Vancouver;British Columbia;Canada;24
Halifax;Nova Scotia;Canada;28
Mwene-Ditu;Lomami;Congo, The Democratic Republic of the;
Lubumbashi;Haut-Katanga;Congo, The Democratic Republic of the;
Oyo;Cuvette;Congo;
Lausanne;Vaud;Switzerland;31
Emmen;Lucerne;Switzerland;
Bern;Bern;Switzerland;28
Bellevue;Geneva;Switzerland;
Basel;Basel-City;Switzerland;42
Salamanca;Coquimbo Region;Chile;
Rancagua;O'Higgins Region;Chile;
El Monte;Santiago Metropolitan;Chile;
Coquimbo;Coquimbo Region;Chile;
Antofagasta;Antofagasta;Chile;
Bamenda;North-West;Cameroon;
Fengshan;Yunnan;China;
Korla;Xinjiang;China;154
Hami;Xinjiang;China;
Zaoyang;Hubei;China;
Yuzhou;Hebei;China;
Yuncheng;Shandong;China;
