cidade;estado;pais;temperatura;sensacao_termica;condicao
Abu Dhabi;Abu Dhabi;United Arab Emirates;30.3;34.6;Clear
Kabul;Kabul;Afghanistan;20.5;20.5;Sunny
Yerevan;Yerevan;Armenia;17.1;17.1;Clear
Benguela;Benguela;Angola;23.9;25.9;Partly Cloudy
Tandil;Buenos Aires;Argentina;5.5;3.0;Partly Cloudy
Santa Rosa;Corrientes;Argentina;33.0;40.5;Sunny
San Lorenzo;Corrientes;Argentina;20.3;20.3;Overcast
Quilmes;Buenos Aires;Argentina;14.0;12.3;Clear
Merlo;Buenos Aires;Argentina;9.8;8.9;Partly Cloudy
La Plata;Buenos Aires;Argentina;9.3;7.1;Clear
La Paz;Entre Rios;Argentina;5.0;2.2;Clear
Fontana;Chaco;Argentina;27.8;27.6;Sunny
Ezeiza;Buenos Aires;Argentina;9.3;6.7;Clear
Avellaneda;Santa Fe;Argentina;13.7;12.4;Clear
Tama;La Rioja;Argentina;30.0;33.1;Clear
Santa Rosa;La Pampa;Argentina;33.0;40.5;Sunny
Santa Rosa;Mendoza;Argentina;33.0;40.5;Sunny
San Lorenzo;Santa Fe;Argentina;20.3;20.3;Overcast
Merlo;San Luis;Argentina;9.8;8.9;Partly Cloudy
Lincoln;Buenos Aires;Argentina;17.8;17.8;Sunny
La Paz;Mendoza;Argentina;5.0;2.2;Clear
El Alto;Catamarca;Argentina;22.3;24.7;Partly cloudy
Avellaneda;Buenos Aires;Argentina;13.7;12.4;Clear
Salzburg;Salzburg;Austria;8.2;8.3;Partly cloudy
Linz;Upper Austria;Austria;9.2;9.1;Partly cloudy
Graz;Styria;Austria;10.2;10.5;Light rain
York;Western Australia;Australia;2.3;-0.2;Partly Cloudy
Bellevue;Western Australia;Australia;20.0;20.0;Partly cloudy
Woodridge;Queensland;Australia;12.0;11.9;Overcast
Warren;New South Wales;Australia;10.6;8.6;Overcast
Southport;Queensland;Australia;8.2;7.0;Clear
Newcastle;New South Wales;Australia;5.6;5.1;Clear
Hamilton;Victoria;Australia;10.5;8.9;Fog
Hamilton;Queensland;Australia;10.5;8.9;Fog
Dallas;Victoria;Australia;28.3;31.0;Partly cloudy
Ruse;New South Wales;Australia;14.1;14.7;Clear
Dayton;Western Australia;Australia;13.1;11.4;Overcast
Hamilton;New South Wales;Australia;10.5;8.9;Fog
Chatsworth;Queensland;Australia;29.4;37.3;Clear
Baku;Baki;Azerbaijan;10.1;9.6;Clear
Dhaka;Dhaka Division;Bangladesh;27.3;30.9;Sunny
Saint-Denis;Wallonia;Belgium;19.3;19.3;Clear
Duisburg;Flanders;Belgium;7.0;4.8;Patchy rain nearby
Stara Zagora;Stara Zagora;Bulgaria;12.6;12.8;Clear
Ruse;Ruse;Bulgaria;14.1;14.7;Clear
Ivanovo;Ruse;Bulgaria;8.2;6.6;Sunny
Hamilton;Hamilton city;Bermuda;10.5;8.9;Fog
Bandar Seri Begawan;Brunei-Muara District;Brunei Darussalam;29.3;33.7;Partly cloudy
Sucre;Chuquisaca Department;Bolivia, Plurinational State of;13.4;12.7;Patchy rain nearby
La Paz;La Paz Department;Bolivia, Plurinational State of;5.0;2.2;Clear
Juazeiro do Norte;Ceará;Brazil;20.9;20.9;Patchy rain nearby
Aurora;Ceará;Brazil;22.3;24.5;Partly cloudy
Vila Velha;Espírito Santo;Brazil;23.4;25.6;Patchy rain nearby
Sorocaba;São Paulo;Brazil;16.3;16.3;Light rain shower
Santa Rosa;Rio Grande do Sul;Brazil;33.0;40.5;Sunny
Salinas;Minas Gerais;Brazil;17.8;17.8;Sunny
Rio Claro;Rio de Janeiro;Brazil;16.4;16.4;Mist
Rio Claro;São Paulo;Brazil;16.4;16.4;Mist
Alvorada;Rio Grande do Sul;Brazil;26.7;27.6;Partly Cloudy
Juiz de Fora;Minas Gerais;Brazil;14.7;15.5;Clear
Blumenau;Santa Catarina;Brazil;17.0;17.0;Light rain
Angra dos Reis;Rio de Janeiro;Brazil;18.9;18.9;Clear
Alvorada;Tocantins;Brazil;26.7;27.6;Partly Cloudy
Boa Vista;Roraima;Brazil;26.2;29.7;Light rain shower
Ivanovo;Brest;Belarus;8.2;6.6;Sunny
Brest;Brest;Belarus;10.6;8.5;Light drizzle
Aurora;Ontario;Canada;22.3;24.5;Partly cloudy
Gatineau;Quebec;Canada;9.2;6.1;Overcast
Hamilton;Ontario;Canada;10.5;8.9;Fog
Kimberley;British Columbia;Canada;4.1;0.7;Clear
Lethbridge;Alberta;Canada;16.1;16.1;Partly cloudy
Lincoln;New Brunswick;Canada;17.8;17.8;Sunny
London;Ontario;Canada;5.1;4.8;Clear
Oshawa;Ontario;Canada;9.0;6.4;Light rain
Richmond Hill;Ontario;Canada;8.3;6.3;Overcast
Vancouver;British Columbia;Canada;17.2;17.2;Partly cloudy
Halifax;Nova Scotia;Canada;6.1;2.0;Overcast
Mwene-Ditu;Lomami;Congo, The Democratic Republic of the;20.4;20.4;Clear
Lubumbashi;Haut-Katanga;Congo, The Democratic Republic of the;14.5;13.9;Clear
Oyo;Cuvette;Congo;7.6;4.9;Clear
Lausanne;Vaud;Switzerland;7.1;6.0;Mist
Emmen;Lucerne;Switzerland;6.3;3.1;Patchy rain nearby
Bern;Bern;Switzerland;7.1;7.0;Fog
Bellevue;Geneva;Switzerland;20.0;20.0;Partly cloudy
Basel;Basel-City;Switzerland;9.4;9.6;Partly Cloudy
Salamanca;Coquimbo Region;Chile;9.3;7.2;Clear
Rancagua;O'Higgins Region;Chile;12.8;12.9;Clear
El Monte;Santiago Metropolitan;Chile;26.1;26.4;Sunny
Coquimbo;Coquimbo Region;Chile;13.2;13.8;Overcast
Antofagasta;Antofagasta;Chile;14.0;14.7;Clear
Bamenda;North-West;Cameroon;17.6;17.6;Patchy rain nearby
Fengshan;Yunnan;China;32.3;38.8;Partly cloudy
Korla;Xinjiang;China;22.9;22.9;Sunny
Hami;Xinjiang;China;10.5;8.9;Fog
Zaoyang;Hubei;China;20.1;20.1;Sunny
Yuzhou;Hebei;China;19.6;19.6;Partly Cloudy
Yuncheng;Shandong;China;21.4;21.4;Partly Cloudy
Yuncheng;Shanxi;China;21.4;21.4;Partly Cloudy
