cidade;estado;pais;aqius;film_id;title;total_alugueis
Springs;New York;United States;;856;STREETCAR INTENTIONS;2
Springs;New York;United States;;303;FANTASY TROOPERS;1
Springs;New York;United States;;791;SHOW LORD;1
Springs;New York;United States;;166;COLOR PHILADELPHIA;1
Springs;New York;United States;;455;IMPOSSIBLE PREJUDICE;1
Springs;New York;United States;;958;WARDROBE PHANTOM;1
Springs;New York;United States;;78;BLACKOUT PRIVATE;1
Springs;New York;United States;;681;PIRATES ROXANNE;1
Springs;New York;United States;;748;RUGRATS SHAKESPEARE;1
Springs;New York;United States;;142;CHICKEN HELLFIGHTERS;1
Springs;New York;United States;;249;DRACULA CRYSTAL;1
Springs;New York;United States;;880;TELEMARK HEARTBREAKERS;1
Springs;New York;United States;;109;BUTTERFLY CHOCOLAT;1
Springs;New York;United States;;341;FROST HEAD;1
Springs;New York;United States;;48;BACKLASH UNDEFEATED;1
Springs;New York;United States;;785;SHAWSHANK BUBBLE;1
Springs;New York;United States;;234;DISTURBING SCARFACE;1
Springs;New York;United States;;627;NORTH TEQUILA;1
Springs;New York;United States;;131;CENTER DINOSAUR;1
Springs;New York;United States;;473;JACKET FRISCO;1
Springs;New York;United States;;222;DESERT POSEIDON;1
Springs;New York;United States;;314;FIGHT JAWBREAKER;1
Springs;New York;United States;;387;GUN BONNIE;1
Springs;New York;United States;;714;RANDOM GO;1
Springs;New York;United States;;1000;ZORRO ARK;1
Springs;New York;United States;;347;GAMES BOWFINGER;1
Springs;New York;United States;;660;PARTY KNOCK;1
Springs;New York;United States;;661;PAST SUICIDES;1
Springs;New York;United States;;338;FRISCO FORREST;1
Springs;New York;United States;;263;DURHAM PANKY;1
Springs;New York;United States;;482;JEOPARDY ENCINO;1
Springs;New York;United States;;231;DINOSAUR SECRETARY;1
Springs;New York;United States;;816;SNOWMAN ROLLERCOASTER;1
Springs;New York;United States;;37;ARIZONA BANG;1
Springs;New York;United States;;77;BIRDS PERDITION;1
Springs;New York;United States;;360;GLASS DYING;1
Springs;New York;United States;;285;ENGLISH BULWORTH;1
Springs;New York;United States;;979;WITCHES PANIC;1
Springs;New York;United States;;397;HANKY OCTOBER;1
Springs;New York;United States;;827;SPICE SORORITY;1
Springs;New York;United States;;545;MADNESS ATTACKS;1
Springs;New York;United States;;886;THEORY MERMAID;1
Springs;New York;United States;;428;HOMICIDE PEACH;1
Springs;New York;United States;;908;TRAP GUYS;1
Springs;New York;United States;;509;LANGUAGE COWBOY;1
Springs;New York;United States;;402;HARPER DYING;1
Springs;New York;United States;;491;JUMPING WRATH;1
Springs;New York;United States;;773;SEABISCUIT PUNK;1
Springs;New York;United States;;745;ROSES TREASURE;1
Springs;New York;United States;;697;PRIMARY GLASS;1
Springs;New York;United States;;541;LUKE MUMMY;1
Springs;New York;United States;;898;TOURIST PELICAN;1
Springs;New York;United States;;896;TOOTSIE PILOT;1
Springs;New York;United States;;734;ROAD ROXANNE;1
Springs;New York;United States;;476;JASON TRAP;1
Springs;New York;United States;;508;LAMBS CINCINATTI;1
Springs;New York;United States;;602;MOURNING PURPLE;1
London;Ontario;Canada;20.0;209;DARKNESS WAR;2
London;Ontario;Canada;20.0;127;CAT CONEHEADS;2
London;Ontario;Canada;20.0;179;CONQUERER NUTS;1
London;Ontario;Canada;20.0;167;COMA HEAD;1
London;Ontario;Canada;20.0;894;TOMATOES HELLFIGHTERS;1
London;Ontario;Canada;20.0;19;AMADEUS HOLY;1
