cidade;estado;pais;aqius
Springs;New York;United States;
London;Ontario;Canada;20.0
Aurora;Ceará;Brazil;
Siegen;North Rhine-Westphalia;Germany;
Pak Kret;Nonthaburi;Thailand;
Udaipur;Rajasthan;India;40.0
Bergamo;Lombardy;Italy;29.0
Mysore;Karnataka;India;
Korolev;Moscow Oblast;Russian Federation;
Quilmes;Buenos Aires;Argentina;
Gandhinagar;Gujarat;India;
Phnom Penh;Phnom Penh;Cambodia;
Livorno;Tuscany;Italy;
Lancaster;England;United Kingdom;
Surakarta;Central Java;Indonesia;
Kisumu;Kisumu County;Kenya;
Elista;Kalmykiya Republic;Russian Federation;
Pune;Maharashtra;India;
Uruapan;Michoacán;Mexico;
Tarsus;Mersin;Türkiye;
Kuching;Sarawak;Malaysia;
Oyo;Cuvette;Congo;
Funafuti;Funafuti;Tuvalu;
Kitwe;Copperbelt;Zambia;
