cidade;film_id;title;total_alugueis
Lima;233;DISCIPLE MOTHER;3
Kurgan;228;DETECTIVE VISION;3
Trshavn;322;FLATLINERS KILLER;3
Sorocaba;111;CADDYSHACK JEDI;3
Mysore;388;GUNFIGHT MOON;2
Deba Habe;200;CURTAIN VIDEOTAPE;2
Mwene-Ditu;253;DRIFTER COMMANDMENTS;2
Kragujevac;880;TELEMARK HEARTBREAKERS;2
Allende;800;SINNERS ATLANTIS;2
Haining;131;CENTER DINOSAUR;2
Nabereznyje Telny;555;MALLRATS UNITED;2
Bhopal;353;GENTLEMEN STAGE;2
Owo;911;TRIP NEWTON;2
Rustenburg;387;GUN BONNIE;2
Balikesir;890;TIGHTS DAWN;2
Ranchi;926;UNTOUCHABLES SUNRISE;2
Grand Prairie;746;ROUGE SQUAD;2
Siliguri (Shiliguri);434;HORROR REIGN;2
Bucuresti;527;LOLA AGENT;2
Taguig;303;FANTASY TROOPERS;2
Sincelejo;863;SUN CONFESSIONS;2
Naju;63;BEDAZZLED MARRIED;2
Cape Coral;966;WEDDING APOLLO;2
Cuman;945;VIRGINIAN PLUTO;2
Caracas;4;AFFAIR PREJUDICE;2
Coatzacoalcos;861;SUIT WALLS;2
Ikerre;966;WEDDING APOLLO;2
Ezhou;109;BUTTERFLY CHOCOLAT;2
Balurghat;571;METAL ARMAGEDDON;2
Huaian;467;INTRIGUE WORST;2
Jining;158;CLONES PINOCCHIO;2
Kimchon;698;PRINCESS GIANT;2
Taguig;76;BIRDCAGE CASPER;2
Kakamigahara;25;ANGELS LIFE;2
Uluberia;486;JET NEIGHBORS;2
Dhaka;665;PATTON INTERVIEW;2
Botshabelo;484;JERK PAYCHECK;2
Amersfoort;869;SUSPECTS QUILLS;2
Balaiha;596;MOONSHINE CABIN;2
Mosul;911;TRIP NEWTON;2
Huejutla de Reyes;625;NONE SPIKING;2
Lungtan;361;GLEAMING JAWBREAKER;2
Battambang;646;OUTBREAK DIVINE;2
Patiala;838;STAGECOACH ARMAGEDDON;2
Memphis;103;BUCKET BROTHERHOOD;2
Livorno;489;JUGGLER HARDLY;2
Sumqayit;689;POLLOCK DELIVERANCE;2
Sasebo;317;FIREBALL PHILADELPHIA;2
Kisumu;865;SUNRISE LEAGUE;2
Ipoh;295;EXPENDABLE STALLION;2
Laredo;285;ENGLISH BULWORTH;2
Warren;807;SLEUTH ORIENT;2
Mit Ghamr;263;DURHAM PANKY;2
Blumenau;441;HUNTER ALTER;2
al-Hawiya;563;MASSACRE USUAL;2
Juazeiro do Norte;21;AMERICAN CIRCUS;2
Imus;486;JET NEIGHBORS;2
Jaffna;373;GRADUATE LORD;2
Uijongbu;747;ROXANNE REBEL;2
Qinhuangdao;481;JEKYLL FROGMEN;2
Pudukkottai;521;LIES TREATMENT;2
Pingxiang;172;CONEHEADS SMOOCHY;2
Cam Ranh;944;VIRGIN DAISY;2
Kitwe;563;MASSACRE USUAL;2
Baiyin;843;STEEL SANTA;2
Lima;611;MUSKETEERS WAIT;2
Coatzacoalcos;500;KISS GLORY;2
Daxian;562;MASKED BUBBLE;2
Cuautla;303;FANTASY TROOPERS;2
Suihua;649;OZ LIAISONS;2
Sumqayit;892;TITANIC BOONDOCK;2
Salamanca;603;MOVIE SHAKESPEARE;2
Halisahar;131;CENTER DINOSAUR;2
Lungtan;280;EMPIRE MALKOVICH;2
Wroclaw;518;LIAISONS SWEET;2
Liaocheng;231;DINOSAUR SECRETARY;2
Halifax;140;CHEAPER CLYDE;2
Sunnyvale;648;OUTLAW HANKY;2
Lungtan;945;VIRGINIAN PLUTO;2
Datong;267;EAGLES PANKY;2
Kimberley;875;TALENTED HOMICIDE;2
Zanzibar;111;CADDYSHACK JEDI;2
South Hill;181;CONTACT ANONYMOUS;2
Hsichuh;697;PRIMARY GLASS;2
Laohekou;985;WONDERLAND CHRISTMAS;2
Springs;856;STREETCAR INTENTIONS;2
Boa Vista;970;WESTWARD SEABISCUIT;2
Juazeiro do Norte;307;FELLOWSHIP AUTUMN;2
Bucuresti;737;ROCK INSTINCT;2
Laredo;807;SLEUTH ORIENT;2
Sorocaba;973;WIFE TURN;2
Cabuyao;367;GOLDMINE TYCOON;2
Davao;280;EMPIRE MALKOVICH;2
Pak Kret;869;SUSPECTS QUILLS;2
Tychy;245;DOUBLE WRATH;2
Bergamo;574;MIDNIGHT WESTWARD;2
Halle/Saale;445;HYDE DOCTOR;2
Huixquilucan;1000;ZORRO ARK;2
Monywa;906;TRAMP OTHERS;2
La Romana;302;FANTASIA PARK;2
Izumisano;114;CAMELOT VACATION;2
Lima;555;MALLRATS UNITED;2
Tanauan;820;SONS INTERVIEW;2
Meixian;979;WITCHES PANIC;2
Haldia;341;FROST HEAD;2
Tambaram;115;CAMPUS REMEMBER;2
Lapu-Lapu;11;ALAMO VIDEOTAPE;2
El Fuerte;437;HOUSE DYNAMITE;2
Hsichuh;220;DEER VIRGINIAN;2
Arak;462;INSIDER ARIZONA;2
Coatzacoalcos;542;LUST LOCK;2
Tangail;531;LOSE INCH;2
Vila Velha;738;ROCKETEER MOTHER;2
Shubra al-Khayma;73;BINGO TALENTED;2
Maring;738;ROCKETEER MOTHER;2
Birgunj;893;TITANS JERK;2
Liepaja;602;MOURNING PURPLE;2
Richmond Hill;941;VIDEOTAPE ARSENIC;2
Moscow;979;WITCHES PANIC;2
Ourense (Orense);595;MOON BUNCH;2
Yamuna Nagar;737;ROCK INSTINCT;2
Sokoto;311;FICTION CHRISTMAS;2
Juiz de Fora;803;SLACKER LIAISONS;2
Naju;581;MINORITY KISS;2
Shubra al-Khayma;773;SEABISCUIT PUNK;2
Papeete;869;SUSPECTS QUILLS;2
Gatineau;78;BLACKOUT PRIVATE;2
Balikesir;307;FELLOWSHIP AUTUMN;2
Tokat;644;OSCAR GOLD;2
Yangor;814;SNATCH SLIPPER;2
Cuauhtmoc;141;CHICAGO NORTH;2
Arlington;595;MOON BUNCH;2
Bhilwara;381;GRINCH MASSAGE;2
Jalib al-Shuyukh;170;COMMAND DARLING;2
San Felipe del Progreso;271;EASY GLADIATOR;2
