pais;receita_total;continente
India;6630.27;Asia
China;5802.73;Asia
United States;4110.32;Oceania
Japan;3471.74;Asia
Brazil;3200.52;South America
Mexico;3165.37;North America
Russian Federation;3045.87;Europe
Philippines;2381.32;Asia
Turkey;1662.12;Europe
Nigeria;1511.48;Africa
Indonesia;1510.33;Asia
Argentina;1434.48;South America
South Africa;1345.82;Africa
Taiwan;1210.94;Asia
Iran;950.75;Oceania
United Kingdom;924.8;Europe
Poland;877.97;Europe
Italy;831.11;Europe
Germany;831.04;Europe
Vietnam;746.28;Asia
Ukraine;730.42;Europe
Colombia;709.41;South America
Egypt;694.39;Africa
Venezuela;683.3;South America
Spain;606.58;Europe
Canada;593.63;North America
Netherlands;586.66;North America
South Korea;574.65;Asia
Pakistan;525.72;Asia
Saudi Arabia;523.79;Asia
Yemen;510.83;Asia
Peru;468.88;South America
Israel;422.01;Asia
Thailand;419.04;Asia
Bangladesh;402.05;Asia
Ecuador;390.13;South America
Algeria;383.1;Africa
France;374.04;Europe
Malaysia;369.15;Asia
Mozambique;344.2;Africa
Tanzania;341.17;Africa
United Arab Emirates;333.16;Asia
Chile;328.29;South America
Dominican Republic;318.23;North America
Morocco;307.29;Africa
Austria;307.22;Europe
Belarus;277.34;Europe
Paraguay;275.38;South America
Latvia;262.4;Europe
Yugoslavia;259.43;
Puerto Rico;254.39;North America
Kenya;253.46;Africa
Switzerland;252.39;Europe
Azerbaijan;245.43;Europe
French Polynesia;235.46;Oceania
Romania;235.38;Europe
Greece;232.46;Europe
Sudan;227.46;Africa
Runion;216.54;
Angola;215.48;Africa
Congo, The Democratic Republic of the;212.5;Africa
Bulgaria;204.5;Europe
Cameroon;200.46;Africa
Kazakstan;198.48;
Myanmar;194.48;Asia
Cambodia;191.47;Asia
Oman;187.5;Europe
Bolivia;183.53;South America
Holy See (Vatican City State);152.66;Europe
Nauru;148.69;Oceania
Sweden;144.66;Europe
Hong Kong;142.7;Asia
Greenland;137.66;North America
Turkmenistan;136.73;Asia
Chad;135.68;Africa
Zambia;134.67;Africa
Czech Republic;133.71;Europe
Gambia;129.7;Africa
Moldova;127.66;Europe
Malawi;123.72;Africa
Virgin Islands, U.S.;122.68;North America
Tuvalu;120.74;Oceania
Armenia;118.75;Asia
Nepal;116.78;Asia
Sri Lanka;116.7;Asia
Estonia;115.7;Europe
Liechtenstein;114.72;Europe
Faroe Islands;114.72;Europe
North Korea;113.69;Asia
Brunei;113.65;Asia
Bahrain;112.75;Asia
Kuwait;111.74;Asia
Iraq;111.73;Asia
Hungary;111.71;Europe
Anguilla;106.65;North America
French Guiana;103.78;South America
Finland;101.74;Europe
Senegal;100.75;Africa
Saint Vincent and the Grenadines;96.75;North America
Madagascar;93.78;Africa
New Zealand;92.76;Oceania
Ethiopia;91.77;Africa
Slovakia;89.74;Europe
Tunisia;78.77;Africa
Tonga;73.82;Oceania
Lithuania;73.76;Europe
American Samoa;71.8;Oceania
Afghanistan;67.82;Asia
