cidade;pais_code;estado_code;estado
Vila;AD;03;Encamp
El Tarter;AD;02;Canillo
Sant Julià de Lòria;AD;06;Sant Julià de Loria
Pas de la Casa;AD;03;Encamp
Ordino;AD;05;Ordino
les Escaldes;AD;08;Escaldes-Engordany
la Massana;AD;04;La Massana
Encamp;AD;03;Encamp
Canillo;AD;02;Canillo
Arinsal;AD;04;La Massana
Anyós;AD;04;La Massana
Andorra la Vella;AD;07;Andorra la Vella
Aixirivall;AD;06;Sant Julià de Loria
Warīsān;AE;03;Dubai
Umm Suqaym;AE;03;Dubai
Umm Al Quwain City;AE;07;Imārat Umm al Qaywayn
Ţarīf Kalbā;AE;04;Fujairah
Ar Rāshidīyah;AE;03;Dubai
Ras Al Khaimah City;AE;05;Raʼs al Khaymah
Muzayri‘;AE;01;Abu Dhabi
Murbaḩ;AE;06;Sharjah
Maşfūţ;AE;02;Ajman
Zayed City;AE;01;Abu Dhabi
Khawr Fakkān;AE;06;Sharjah
Kalbā;AE;06;Sharjah
Jumayrā;AE;03;Dubai
Al Jazīrah al Ḩamrā’;AE;05;Raʼs al Khaymah
Dubai;AE;03;Dubai
Dibba Al-Fujairah;AE;04;Fujairah
Dibba Al-Hisn;AE;04;Fujairah
Dayrah;AE;03;Dubai
Sharjah;AE;06;Sharjah
Ash Sha‘m;AE;05;Raʼs al Khaymah
Ar Ruways;AE;01;Abu Dhabi
Al Manāmah;AE;02;Ajman
Al Ḩamrīyah;AE;06;Sharjah
Ḩattā;AE;03;Dubai
Al Fujairah City;AE;04;Fujairah
Al Ain City;AE;01;Abu Dhabi
Ajman City;AE;02;Ajman
Adh Dhayd;AE;06;Sharjah
Abu Dhabi;AE;01;Abu Dhabi
Abū Hayl;AE;03;Dubai
As Saţwah;AE;03;Dubai
Abū Mūsá;AE;11;
Nadd al Ḩumr;AE;03;Dubai
Al Lusaylī;AE;03;Dubai
Suwayḩān;AE;01;Abu Dhabi
Al Ḩamīdīyah;AE;02;Ajman
Al Waheda;AE;03;Dubai
Al Twar First;AE;03;Dubai
AL Twar Second;AE;03;Dubai
Al Qusais Second;AE;03;Dubai
Al Karama;AE;03;Dubai
Al Hudaiba;AE;03;Dubai
Knowledge Village;AE;03;Dubai
The Palm Jumeirah;AE;03;Dubai
Za'abeel;AE;03;Dubai
Oud Metha;AE;03;Dubai
Bur Dubai;AE;03;Dubai
Khalifah A City;AE;01;Abu Dhabi
Shakhbout City;AE;01;Abu Dhabi
Mirdif;AE;03;Dubai
Hawr al ‘Anz;AE;03;Dubai
Mankhūl;AE;03;Dubai
Būr Sa‘īd;AE;03;Dubai
Nāyf;AE;03;Dubai
Al Murar al Qadīm;AE;03;Dubai
Ar Riqqah;AE;03;Dubai
Al Warqaa;AE;03;Dubai
International City;AE;03;Dubai
Dubai Marina;AE;03;Dubai
Dubai Sports City;AE;03;Dubai
Dubai Internet City;AE;03;Dubai
Al Sufouh;AE;03;Dubai
Al Safa;AE;03;Dubai
Ar Rumaylah;AE;02;Ajman
Mushayrif;AE;02;Ajman
Al Jurf;AE;02;Ajman
Al Majaz;AE;06;Sharjah
As Saţwah Sharq;AE;03;Dubai
Dubai Festival City;AE;03;Dubai
Dubai International Financial Centre;AE;03;Dubai
Downtown Dubai;AE;03;Dubai
Dubai Investments Park;AE;03;Dubai
Jebel Ali;AE;03;Dubai
Bani Yas City;AE;01;Abu Dhabi
Musaffah;AE;01;Abu Dhabi
Al Shamkhah City;AE;01;Abu Dhabi
Reef Al Fujairah City;AE;04;Fujairah
Al Wiqan;AE;01;Abu Dhabi
Al Faqaa;AE;01;Abu Dhabi
Sha'biyyat Al Hiyar;AE;01;Abu Dhabi
Sha'biyyat Milе̄hah;AE;06;Sharjah
Umm Al Sheif;AE;03;Dubai
Al Bada'a;AE;03;Dubai
Al Muteena;AE;03;Dubai
Al Mizhar First;AE;03;Dubai
Al Mizhar Second;AE;03;Dubai
Dubai Silicon Oasis;AE;03;Dubai
Dubai Motor City;AE;03;Dubai
DAMAC Hills;AE;03;Dubai
Al Furjan;AE;03;Dubai
Business Bay;AE;03;Dubai
Al Qusais 1;AE;03;Dubai
Al Twar 3;AE;03;Dubai
Al Khabaisi;AE;03;Dubai
Al Khawaneej 1;AE;03;Dubai
Halwan;AE;06;Sharjah
Al Sajaah;AE;06;Sharjah
Lahbab;AE;03;Dubai
Al Madam;AE;06;Sharjah
Al Raafah;AE;07;Imārat Umm al Qaywayn
Mohammed Bin Zayed City;AE;01;Abu Dhabi
Masdar City;AE;01;Abu Dhabi
Zōr Kōṯ;AF;37;Khowst
Wulêswālī Bihsūd;AF;27;Maidan Wardak Province
Kuhsān;AF;11;Herat
Lāsh;AF;07;Faryab
Tukzār;AF;33;Sar-e Pol Province
Bati;AF;18;Nangarhar
Mīray;AF;08;Ghazni
Āq Kupruk;AF;30;Balkh
Zurmat;AF;36;Paktia
Zaybāk;AF;01;Badakhshan
Zīārat-e Shāh Maqşūd;AF;23;Kandahar
Zindah Jān;AF;11;Herat
Zarghūn Shahr;AF;29;Paktika
Zaṟah Sharan;AF;29;Paktika
Zaranj;AF;19;Nimroz
Zamtō Kêlay;AF;23;Kandahar
Yangī Qal‘ah;AF;26;Takhar
Bāzār-e Yakāwlang;AF;05;Bamyan
Yaḩyá Khēl;AF;29;Paktika
Wāshēr;AF;10;Helmand
Tōrmay;AF;08;Ghazni
Tūlak;AF;09;Ghowr
Tītān;AF;09;Ghowr
Tīr Pul;AF;11;Herat
Taywarah;AF;09;Ghowr
Bāzār-e Tashkān;AF;01;Badakhshan
Tarinkot;AF;39;Oruzgan
Taloqan;AF;26;Takhar
Tagāw-Bāy;AF;33;Sar-e Pol Province
Tagāb;AF;14;Kapisa
Markaz-e Ḩukūmat-e Sulţān-e Bakwāh;AF;06;Farah
Spīn Bōldak;AF;23;Kandahar
Spērah;AF;37;Khowst
Sōzmah Qal‘ah;AF;33;Sar-e Pol Province
Siyāhgird;AF;40;Parwan
S̲h̲ēwah;AF;18;Nangarhar
Shīnḏanḏ;AF;11;Herat
Shaykh Amīr Kêlay;AF;37;Khowst
Qāshqāl;AF;40;Parwan
