cidade;pais_code;estado_code;estado;pais
Vila;AD;03;Encamp;Andorra
El Tarter;AD;02;Canillo;Andorra
Sant Julià de Lòria;AD;06;Sant Julià de Loria;Andorra
Pas de la Casa;AD;03;Encamp;Andorra
Ordino;AD;05;Ordino;Andorra
les Escaldes;AD;08;Escaldes-Engordany;Andorra
la Massana;AD;04;La Massana;Andorra
Encamp;AD;03;Encamp;Andorra
Canillo;AD;02;Canillo;Andorra
Arinsal;AD;04;La Massana;Andorra
Anyós;AD;04;La Massana;Andorra
Andorra la Vella;AD;07;Andorra la Vella;Andorra
Aixirivall;AD;06;Sant Julià de Loria;Andorra
Warīsān;AE;03;Dubai;United Arab Emirates
Umm Suqaym;AE;03;Dubai;United Arab Emirates
Umm Al Quwain City;AE;07;Imārat Umm al Qaywayn;United Arab Emirates
Ţarīf Kalbā;AE;04;Fujairah;United Arab Emirates
Ar Rāshidīyah;AE;03;Dubai;United Arab Emirates
Ras Al Khaimah City;AE;05;Raʼs al Khaymah;United Arab Emirates
Muzayri‘;AE;01;Abu Dhabi;United Arab Emirates
Murbaḩ;AE;06;Sharjah;United Arab Emirates
Maşfūţ;AE;02;Ajman;United Arab Emirates
Zayed City;AE;01;Abu Dhabi;United Arab Emirates
Khawr Fakkān;AE;06;Sharjah;United Arab Emirates
Kalbā;AE;06;Sharjah;United Arab Emirates
Jumayrā;AE;03;Dubai;United Arab Emirates
Al Jazīrah al Ḩamrā’;AE;05;Raʼs al Khaymah;United Arab Emirates
Dubai;AE;03;Dubai;United Arab Emirates
Dibba Al-Fujairah;AE;04;Fujairah;United Arab Emirates
Dibba Al-Hisn;AE;04;Fujairah;United Arab Emirates
Dayrah;AE;03;Dubai;United Arab Emirates
Sharjah;AE;06;Sharjah;United Arab Emirates
Ash Sha‘m;AE;05;Raʼs al Khaymah;United Arab Emirates
Ar Ruways;AE;01;Abu Dhabi;United Arab Emirates
Al Manāmah;AE;02;Ajman;United Arab Emirates
Al Ḩamrīyah;AE;06;Sharjah;United Arab Emirates
Ḩattā;AE;03;Dubai;United Arab Emirates
Al Fujairah City;AE;04;Fujairah;United Arab Emirates
Al Ain City;AE;01;Abu Dhabi;United Arab Emirates
Ajman City;AE;02;Ajman;United Arab Emirates
Adh Dhayd;AE;06;Sharjah;United Arab Emirates
Abu Dhabi;AE;01;Abu Dhabi;United Arab Emirates
Abū Hayl;AE;03;Dubai;United Arab Emirates
As Saţwah;AE;03;Dubai;United Arab Emirates
Abū Mūsá;AE;11;;United Arab Emirates
Nadd al Ḩumr;AE;03;Dubai;United Arab Emirates
Al Lusaylī;AE;03;Dubai;United Arab Emirates
Suwayḩān;AE;01;Abu Dhabi;United Arab Emirates
Al Ḩamīdīyah;AE;02;Ajman;United Arab Emirates
Al Waheda;AE;03;Dubai;United Arab Emirates
Al Twar First;AE;03;Dubai;United Arab Emirates
AL Twar Second;AE;03;Dubai;United Arab Emirates
Al Qusais Second;AE;03;Dubai;United Arab Emirates
Al Karama;AE;03;Dubai;United Arab Emirates
Al Hudaiba;AE;03;Dubai;United Arab Emirates
Knowledge Village;AE;03;Dubai;United Arab Emirates
The Palm Jumeirah;AE;03;Dubai;United Arab Emirates
Za'abeel;AE;03;Dubai;United Arab Emirates
Oud Metha;AE;03;Dubai;United Arab Emirates
Bur Dubai;AE;03;Dubai;United Arab Emirates
Khalifah A City;AE;01;Abu Dhabi;United Arab Emirates
Shakhbout City;AE;01;Abu Dhabi;United Arab Emirates
Mirdif;AE;03;Dubai;United Arab Emirates
Hawr al ‘Anz;AE;03;Dubai;United Arab Emirates
Mankhūl;AE;03;Dubai;United Arab Emirates
Būr Sa‘īd;AE;03;Dubai;United Arab Emirates
Nāyf;AE;03;Dubai;United Arab Emirates
Al Murar al Qadīm;AE;03;Dubai;United Arab Emirates
Ar Riqqah;AE;03;Dubai;United Arab Emirates
Al Warqaa;AE;03;Dubai;United Arab Emirates
International City;AE;03;Dubai;United Arab Emirates
Dubai Marina;AE;03;Dubai;United Arab Emirates
Dubai Sports City;AE;03;Dubai;United Arab Emirates
Dubai Internet City;AE;03;Dubai;United Arab Emirates
Al Sufouh;AE;03;Dubai;United Arab Emirates
Al Safa;AE;03;Dubai;United Arab Emirates
Ar Rumaylah;AE;02;Ajman;United Arab Emirates
Mushayrif;AE;02;Ajman;United Arab Emirates
Al Jurf;AE;02;Ajman;United Arab Emirates
Al Majaz;AE;06;Sharjah;United Arab Emirates
As Saţwah Sharq;AE;03;Dubai;United Arab Emirates
Dubai Festival City;AE;03;Dubai;United Arab Emirates
Dubai International Financial Centre;AE;03;Dubai;United Arab Emirates
Downtown Dubai;AE;03;Dubai;United Arab Emirates
Dubai Investments Park;AE;03;Dubai;United Arab Emirates
Jebel Ali;AE;03;Dubai;United Arab Emirates
Bani Yas City;AE;01;Abu Dhabi;United Arab Emirates
Musaffah;AE;01;Abu Dhabi;United Arab Emirates
Al Shamkhah City;AE;01;Abu Dhabi;United Arab Emirates
Reef Al Fujairah City;AE;04;Fujairah;United Arab Emirates
Al Wiqan;AE;01;Abu Dhabi;United Arab Emirates
Al Faqaa;AE;01;Abu Dhabi;United Arab Emirates
Sha'biyyat Al Hiyar;AE;01;Abu Dhabi;United Arab Emirates
Sha'biyyat Milе̄hah;AE;06;Sharjah;United Arab Emirates
Umm Al Sheif;AE;03;Dubai;United Arab Emirates
Al Bada'a;AE;03;Dubai;United Arab Emirates
Al Muteena;AE;03;Dubai;United Arab Emirates
Al Mizhar First;AE;03;Dubai;United Arab Emirates
Al Mizhar Second;AE;03;Dubai;United Arab Emirates
Dubai Silicon Oasis;AE;03;Dubai;United Arab Emirates
Dubai Motor City;AE;03;Dubai;United Arab Emirates
DAMAC Hills;AE;03;Dubai;United Arab Emirates
Al Furjan;AE;03;Dubai;United Arab Emirates
Business Bay;AE;03;Dubai;United Arab Emirates
Al Qusais 1;AE;03;Dubai;United Arab Emirates
Al Twar 3;AE;03;Dubai;United Arab Emirates
Al Khabaisi;AE;03;Dubai;United Arab Emirates
Al Khawaneej 1;AE;03;Dubai;United Arab Emirates
Halwan;AE;06;Sharjah;United Arab Emirates
Al Sajaah;AE;06;Sharjah;United Arab Emirates
Lahbab;AE;03;Dubai;United Arab Emirates
Al Madam;AE;06;Sharjah;United Arab Emirates
Al Raafah;AE;07;Imārat Umm al Qaywayn;United Arab Emirates
Mohammed Bin Zayed City;AE;01;Abu Dhabi;United Arab Emirates
Masdar City;AE;01;Abu Dhabi;United Arab Emirates
Zōr Kōṯ;AF;37;Khowst;Afghanistan
Wulêswālī Bihsūd;AF;27;Maidan Wardak Province;Afghanistan
Kuhsān;AF;11;Herat;Afghanistan
Lāsh;AF;07;Faryab;Afghanistan
Tukzār;AF;33;Sar-e Pol Province;Afghanistan
Bati;AF;18;Nangarhar;Afghanistan
Mīray;AF;08;Ghazni;Afghanistan
Āq Kupruk;AF;30;Balkh;Afghanistan
Zurmat;AF;36;Paktia;Afghanistan
Zaybāk;AF;01;Badakhshan;Afghanistan
Zīārat-e Shāh Maqşūd;AF;23;Kandahar;Afghanistan
Zindah Jān;AF;11;Herat;Afghanistan
Zarghūn Shahr;AF;29;Paktika;Afghanistan
Zaṟah Sharan;AF;29;Paktika;Afghanistan
Zaranj;AF;19;Nimroz;Afghanistan
