time,cidade,regiao,temp_c,feelslike_c,humidity,precip_mm,wind_kph,pressure_mb,uv,vis_km,condicao,is_day
2025-01-01 00:00:00,Manaus,Sul,27.0,20.2,56,0.9,12.0,1013.2,7,8.9,Neblina,0
2025-01-01 01:00:00,Porto Alegre,Sul,30.4,29.6,66,1.1,9.7,1013.7,4,5.8,Nublado,0
2025-01-01 02:00:00,São Paulo,Sul,39.3,30.6,70,0.3,6.2,997.4,0,12.6,Chuva leve,1
2025-01-01 03:00:00,Porto Alegre,Sul,27.5,22.1,80,4.6,8.7,1017.0,2,7.4,Nublado,0
2025-01-01 04:00:00,Porto Alegre,Norte,20.7,27.3,91,0.5,12.7,1008.2,0,6.7,Tempestade,0
2025-01-01 05:00:00,Belo Horizonte,Sul,30.2,31.5,65,0.2,11.8,1006.5,1,7.4,Nublado,1
2025-01-01 06:00:00,São Paulo,Sudeste,24.3,21.5,56,4.6,10.0,1013.2,6,8.9,Tempestade,0
2025-01-01 07:00:00,São Paulo,Sudeste,26.7,34.4,52,1.9,12.4,1031.0,5,7.5,Neblina,1
2025-01-01 08:00:00,São Paulo,Sudeste,26.8,28.3,92,0.9,7.6,1008.2,8,7.6,Nublado,1
2025-01-01 09:00:00,Porto Alegre,Sul,22.1,24.3,72,1.4,14.3,1008.5,6,8.0,Chuva leve,1
2025-01-01 10:00:00,Manaus,Norte,23.1,24.7,58,0.9,13.3,999.0,6,7.9,Parcialmente nublado,0
2025-01-01 11:00:00,São Paulo,Norte,13.5,27.8,64,2.5,9.8,1007.9,3,10.5,Chuva leve,1
2025-01-01 12:00:00,Porto Alegre,Sul,24.5,26.5,46,2.5,12.1,990.1,9,12.9,Ensolarado,1
2025-01-01 13:00:00,Belo Horizonte,Sul,27.8,29.5,40,7.7,12.1,1023.9,11,6.9,Ensolarado,0
2025-01-01 14:00:00,Manaus,Sul,25.1,24.9,45,2.8,9.2,1010.6,7,8.7,Neblina,0
2025-01-01 15:00:00,Belo Horizonte,Sudeste,22.7,24.8,79,1.1,9.5,1020.7,2,10.5,Tempestade,1
2025-01-01 16:00:00,Manaus,Sul,26.9,28.0,62,7.6,8.4,1017.9,6,8.4,Ensolarado,1
2025-01-01 17:00:00,Porto Alegre,Sul,20.3,24.3,81,0.5,7.8,1034.4,8,7.3,Neblina,1
2025-01-01 18:00:00,Capanema,Norte,19.7,25.8,94,0.1,11.9,1027.6,10,14.0,Ensolarado,0
2025-01-01 19:00:00,Manaus,Norte,27.6,30.7,81,0.5,13.4,1022.5,0,9.2,Chuva leve,1
2025-01-01 20:00:00,Belo Horizonte,Sudeste,27.9,20.3,70,1.3,10.3,1008.9,6,7.7,Neblina,0
2025-01-01 21:00:00,Porto Alegre,Sudeste,27.6,27.9,96,0.6,12.3,1018.8,8,7.2,Parcialmente nublado,0
2025-01-01 22:00:00,Manaus,Sudeste,23.5,29.6,84,8.5,11.1,1021.0,9,6.5,Tempestade,0
2025-01-01 23:00:00,Capanema,Sudeste,30.5,31.8,81,0.1,7.1,1048.7,5,8.7,Neblina,1
2025-01-02 00:00:00,Capanema,Sul,19.4,27.4,49,0.8,10.3,1008.1,6,7.7,Tempestade,0
2025-01-02 01:00:00,São Paulo,Sul,23.5,26.6,78,2.8,9.7,1007.2,11,11.1,Chuva leve,0
2025-01-02 02:00:00,São Paulo,Sudeste,28.7,22.2,63,1.8,10.9,1005.5,6,6.4,Chuva leve,0
2025-01-02 03:00:00,Belo Horizonte,Sudeste,29.3,25.2,44,1.9,9.0,1022.2,8,5.5,Tempestade,0
2025-01-02 04:00:00,Manaus,Norte,21.1,31.0,93,2.9,11.4,1011.9,11,4.4,Chuva leve,1
2025-01-02 05:00:00,Manaus,Norte,35.7,22.9,95,1.9,9.0,1004.4,9,7.7,Nublado,1
2025-01-02 06:00:00,São Paulo,Norte,24.3,18.8,40,0.7,6.3,1013.2,9,7.0,Ensolarado,0
2025-01-02 07:00:00,Manaus,Sudeste,25.4,32.0,98,0.4,6.0,1010.5,8,7.6,Chuva leve,0
2025-01-02 08:00:00,Manaus,Norte,29.9,25.9,83,1.2,12.2,1004.2,7,7.2,Ensolarado,1
2025-01-02 09:00:00,Capanema,Sudeste,32.8,30.8,44,1.7,9.0,1016.9,7,4.4,Tempestade,1
2025-01-02 10:00:00,São Paulo,Sul,25.3,22.9,94,1.3,6.5,1016.6,1,8.4,Neblina,0
2025-01-02 11:00:00,Porto Alegre,Sudeste,30.9,26.9,99,3.1,8.9,996.2,1,7.7,Chuva leve,1
2025-01-02 12:00:00,São Paulo,Sul,22.7,24.9,52,1.2,8.8,1007.5,4,6.5,Neblina,0
2025-01-02 13:00:00,Porto Alegre,Sul,33.3,28.6,93,3.6,10.9,1014.0,4,5.7,Parcialmente nublado,1
2025-01-02 14:00:00,Capanema,Sudeste,25.2,27.6,92,2.9,13.6,1020.7,7,8.8,Ensolarado,1
2025-01-02 15:00:00,Belo Horizonte,Norte,26.6,29.9,91,0.8,9.4,997.5,4,9.3,Chuva leve,0
2025-01-02 16:00:00,Manaus,Sudeste,23.3,26.1,91,0.9,12.8,1011.9,1,9.1,Chuva leve,0
2025-01-02 17:00:00,Capanema,Norte,26.1,31.2,99,10.2,9.6,1022.5,3,9.5,Neblina,0
2025-01-02 18:00:00,Manaus,Sul,21.3,24.2,71,0.4,10.7,1017.4,8,7.0,Parcialmente nublado,1
2025-01-02 19:00:00,Belo Horizonte,Sul,24.7,30.6,79,0.1,6.0,1012.5,11,8.0,Neblina,0
2025-01-02 20:00:00,Belo Horizonte,Sul,25.1,32.0,71,0.3,10.4,1021.2,7,8.2,Nublado,1
2025-01-02 21:00:00,Capanema,Sul,19.7,28.1,75,1.2,16.7,1025.0,3,6.0,Neblina,0
2025-01-02 22:00:00,Belo Horizonte,Sudeste,22.1,23.5,52,8.5,10.0,1002.6,9,13.0,Parcialmente nublado,1
2025-01-02 23:00:00,Porto Alegre,Sul,14.5,19.3,59,5.6,9.3,1006.4,1,7.2,Tempestade,0
2025-01-03 00:00:00,Belo Horizonte,Norte,18.8,26.0,57,1.8,9.0,1001.1,8,6.5,Nublado,1
2025-01-03 01:00:00,Manaus,Norte,24.9,22.6,71,2.0,6.5,1023.8,5,11.4,Chuva leve,0
2025-01-03 02:00:00,Manaus,Sul,29.8,24.9,70,5.5,12.4,1009.1,7,5.6,Chuva leve,1
2025-01-03 03:00:00,Manaus,Sudeste,23.2,35.8,72,0.1,7.9,1027.7,6,7.4,Nublado,1
2025-01-03 04:00:00,Manaus,Sul,24.8,26.1,59,1.3,7.5,1019.9,11,5.6,Tempestade,1
2025-01-03 05:00:00,Porto Alegre,Sul,30.8,21.3,79,2.8,6.1,1005.3,3,8.9,Tempestade,0
2025-01-03 06:00:00,São Paulo,Norte,29.2,24.6,71,1.0,17.0,1011.0,8,8.1,Parcialmente nublado,1
2025-01-03 07:00:00,Capanema,Sudeste,29.1,30.9,96,0.2,15.3,999.8,4,7.2,Tempestade,0
2025-01-03 08:00:00,Manaus,Sudeste,25.6,28.0,49,3.1,7.9,1004.5,0,11.3,Ensolarado,0
2025-01-03 09:00:00,Belo Horizonte,Norte,22.5,29.8,49,0.2,16.7,1019.9,7,5.7,Ensolarado,0
2025-01-03 10:00:00,Manaus,Norte,27.0,34.5,80,4.2,7.1,1010.2,6,8.6,Ensolarado,1
2025-01-03 11:00:00,Belo Horizonte,Norte,31.4,26.7,95,2.8,8.0,1026.2,0,3.5,Tempestade,1
2025-01-03 12:00:00,Belo Horizonte,Sudeste,34.0,33.0,43,1.7,10.4,1013.5,4,7.1,Nublado,0
2025-01-03 13:00:00,Manaus,Norte,37.0,29.7,43,2.6,8.3,1003.0,8,7.5,Neblina,1
2025-01-03 14:00:00,Porto Alegre,Norte,32.6,24.6,44,1.4,11.4,1017.2,10,6.4,Tempestade,0
2025-01-03 15:00:00,Belo Horizonte,Norte,25.2,32.7,53,1.5,9.7,1010.7,6,4.0,Parcialmente nublado,0
2025-01-03 16:00:00,Belo Horizonte,Sul,19.0,27.9,50,2.4,6.3,1001.9,7,6.6,Chuva leve,0
2025-01-03 17:00:00,Manaus,Sudeste,28.0,32.4,67,0.1,11.7,1003.0,7,5.6,Parcialmente nublado,0
2025-01-03 18:00:00,Belo Horizonte,Sudeste,30.5,26.3,45,1.6,7.9,1019.3,8,8.7,Tempestade,1
